"","gene_symbol","L1","L2","L3","L4","L5","L6","WM"
"10569","NCBP2AS2",6.02323581844075,6.17144290397873,6.1556602817556,6.16205829055287,6.16489635443171,6.1548281231343,5.61129629051342
"10570","NCBP3",4.43863851966992,3.85977909052792,3.93726669748075,3.93518076203883,4.04420723462895,4.04012041388127,5.33093277665156
"10571","NCCRP1",0.0670045135365323,-0.0860583048642127,-0.99418213909311,-1.78828844479111,-1.10460719253619,-1.09521918842561,-0.207013033786876
"10572","NCDN",9.22985318722292,9.82522511296116,9.46854390157363,9.28163195842011,9.15341429284019,9.19534605669075,8.36793127767609
"10573","NCEH1",6.04286215729448,6.82768124153448,6.88306728947847,6.63081505752462,6.57074749206143,6.52693545813635,5.30094916615788
"10574","NCF1",3.18031433187415,2.49937913207781,1.91334600812776,1.90403101860367,2.16131935481036,2.69770379876487,3.41721657763381
"10575","NCF2",1.4226287082773,-0.0860583048642127,0.0505909784721081,0.1195223373985,0.113269117420275,0.590655229515624,0.421599245412984
"10576","NCF4",1.4226287082773,0.964862574609402,0.678748074656883,0.435089868286233,0.597726364450247,1.22417797225913,1.88940491864288
"10577","NCK1",4.23758058963124,4.30680188940555,4.28498398235509,4.15546032280741,4.26849250392849,4.40064648098331,3.93502064551684
"10578","NCK2",5.40841715130952,5.76416744593467,5.99025385427093,6.15131550848561,6.26082836099099,5.98082832741799,5.16488403773282
"10579","NCKAP1",8.04759263709959,8.5321087984007,8.45660375820363,8.26309709688251,8.32198101062329,8.43624784070716,7.6034433037822
"10580","NCKAP1L",2.45988001829034,1.51069041632661,1.44936171150454,1.74163721159973,1.74986549424778,2.23979935655665,2.83484702220335
"10581","NCKAP5",2.64248703915004,1.32933541123723,1.39873080760273,1.68317298727803,1.94732579407506,2.47342486321959,3.52490169881902
"10582","NCKAP5L",3.29387184693997,3.61754744915458,3.42437158105659,3.06882956850678,3.32525177220154,3.48001689855352,4.14247521642551
"10583","NCKIPSD",5.96955487166621,6.17144290397873,6.41434799179608,6.50355709256725,6.41890465856012,6.13365864390863,5.78535544903253
"10584","NCL",7.53373244277478,7.6035084051519,7.49865497236858,7.52225109497976,7.63636246847527,7.66575812899682,7.82202978464694
"10585","NCLN",5.21437037028032,5.4002323738638,5.31146584012713,5.29288610849461,5.26261533229335,5.36653836002166,5.17436535121336
"10586","NCMAP",-0.413893957513125,-0.723804936509733,-1.08734059758821,-1.24357349102002,-1.10460719253619,-1.09521918842561,0.656224248592406
"10587","NCOA1",6.25123707477138,6.52077875848991,6.36465069723026,6.18857039774588,6.30650365803089,6.36923989680003,6.09340338957206
"10588","NCOA2",5.2542019208222,5.41548312570753,5.17521536738059,5.21248670493315,5.21789827545215,5.24545804551036,5.08167326287879
"10589","NCOA3",4.04340252559474,3.76770745729304,3.79442940984432,3.79036877336232,3.71896066819762,3.5835639062915,3.62510430180914
"10590","NCOA4",6.1371781374872,5.93528438627482,6.12224212182628,6.35931831365882,6.27583202956146,6.20033561112576,6.5700034835758
"10591","NCOA5",4.94213949984201,4.8293760979424,4.6877775518296,4.62798901224277,4.7538649310745,4.67132872738058,4.55914222971903
"10592","NCOA6",4.77226279351708,5.00599324244936,4.93875618050802,4.81657965883484,4.88308918548632,5.11759646463895,5.14573240600645
"10593","NCOA7",6.51985859428118,6.94135997267275,7.10194780623471,7.2169500865473,7.30451211062048,7.25379221102419,6.82453472164927
"10594","NCOR1",7.01654218757133,7.12882688365323,6.88191574105633,6.77600023504288,6.8923870741807,7.05306702128134,7.03952619465057
"10595","NCOR2",6.44069568242483,6.51548054871609,6.25269540271703,6.1432055977602,6.38097954133966,6.52368434920265,6.5807388700262
"10596","NCR1",-1.71227860752949,-1.89483897440163,-1.82482953933447,-1.78828844479111,-1.83632179567564,-1.94068959304646,-1.86262260658848
"10597","NCR3",-1.14034833725648,-1.89483897440163,-1.29391223072479,-1.24357349102002,-1.10460719253619,-1.45688643769117,-1.86262260658848
"10598","NCR3LG1",0.839879891268154,0.964862574609402,0.86433157766546,0.570273489293323,1.45765975744728,0.125365875945236,-0.41877716113407
"10599","NCS1",9.2284255025452,9.03746179570114,9.04675686236743,9.05400563855031,8.82873166033079,8.73151880773691,7.77450601378343
"10600","NCSTN",5.88146281628152,5.61030887643462,5.5820850083272,5.58400921118518,5.67327712671168,5.69027281694311,6.45022840287509
"10601","NDC1",3.41930180084621,3.61754744915458,3.76141373636222,3.53335932816584,3.90861203764217,3.53271919211034,3.47973144144858
"10602","NDC80",0.0670045135365323,-1.39175139073083,-0.470396261574726,0.570273489293323,0.269040339895942,0.125365875945236,0.760624060324214
"10603","NDE1",2.60776801629205,0.788669888554356,0.65017430728977,1.74163721159973,0.865248534020698,1.40467571140288,3.3180516102842
"10604","NDEL1",6.31181072846472,6.89858642724161,6.83230406372188,6.73880983329084,6.59303551930051,6.53017925717559,5.61129629051342
"10605","NDFIP1",8.86300147711822,9.33055425842089,9.42809184301001,9.44970244403093,9.42036103716738,9.337520458049,8.57136103420273
"10606","NDFIP2",6.78559219061059,7.65661783588575,7.46033643040932,7.31285960028225,7.41132515746453,7.80884756171653,7.12268533053534
