"","gene_symbol","L1","L2","L3","L4","L5","L6","WM"
"13995","RBFOX2",111.057771536251,142.291501547124,138.752115898959,138.986222223764,136.074391127405,115.441823364008,71.760173697639
"13996","APOL3",10.7475262777018,3.49250716386449,4.53170893387393,4.26829089362806,5.25741965719521,5.73041541969354,6.17802819913448
"13997","APOL2",51.0507498190833,56.1054376646619,70.5561904843427,79.6303019842484,77.4386989506871,58.4502372808741,40.9888409365653
"13998","APOL1",14.4793062352371,4.28113781376938,5.28699375618625,5.7355158883127,5.31927165316221,10.2105583841812,6.05921996453574
"13999","MYH9",129.418128927325,116.717336185923,102.34109342332,88.4336519523563,84.1805665110903,88.2483974632805,110.729274646026
"14000","TXN2",95.6828381112059,88.5519558321771,84.6233702999098,79.4969178938225,83.1290825796513,81.2677095883811,84.8290795035004
"14001","FOXRED2",44.9306306887254,39.4315324952443,36.5369032793586,40.8155316703183,54.8008684267642,51.1569812921732,42.5333479863489
"14002","EIF3D",69.8589208050614,54.866160929097,58.9751565422205,56.28808615972,63.5219998581115,66.2644401259108,65.9385702023007
"14003","CACNG2",14.7778486318399,22.0816581973368,22.4382532628619,24.1425203670837,17.1330028828597,17.8163824866836,7.00968584132566
"14004","IFT27",38.9597827566688,42.5860550948638,42.3903606522791,37.2141612288196,41.0697253220896,39.3835823389847,46.0975950243111
"14005","PVALB",83.44259985049,60.3865754784312,131.86014189536,216.482378761198,157.22777374812,89.915427403555,39.2067174175842
"14006","NCF4",2.38833917282261,1.68992282122475,1.4161590418356,1.06707272340701,1.29889191530705,2.08378742534311,3.44543880336346
"14007","TST",37.6163419719561,22.4196427615817,22.7844254730884,19.474077202178,23.1944984876259,29.3814026973378,52.7508561618406
"14008","MPST",41.9452067226971,23.3209349329016,20.5815114080108,18.8071567500486,24.369686410999,28.6520770984677,53.8201302732292
"14009","KCTD17",97.0262788959186,117.505966835828,111.215690085489,115.910774580087,103.230981268927,109.711407944315,77.5817771929772
"14010","C1QTNF6",4.62740714734381,4.39379933518436,2.92672868646025,3.33460226064692,2.90704381044912,4.37595359322052,5.82160349533826
"14011","SSTR3",6.26939032865935,9.35090627744364,8.74871585845106,8.53658178725611,10.0818753426214,6.25136227602932,3.20782233416598
"14012","RAC2",6.71720392356359,3.26718412103453,2.98966908831961,2.93444998936929,4.08223173382216,3.54243862308328,4.39590468015338
"14013","CYTH4",6.71720392356359,3.15452259961954,3.30437109761641,3.20121817022104,2.72148782254811,2.91730239548035,6.29683643373322
"14014","ELFN2",29.1078836687756,38.7555633667544,29.6449292757586,22.675295372399,26.7200622577451,33.0280306916882,21.029057523977
"14015","MFNG",5.6723055354537,2.81653803537459,2.89525848553057,3.20121817022104,2.5977838306141,2.39635553914457,4.39590468015338
"14016","CARD10",5.6723055354537,3.37984564244951,3.02113928924929,4.40167498405393,3.40185977818513,3.64662799435044,3.32663056876472
"14017","CDC42EP1",31.0484092466939,13.632044091213,19.3541735717533,23.7423680958061,28.3900661488541,43.7595359322052,196.271203557119
"14018","GGA1",37.1685283770519,35.8263638099648,33.9248766021951,33.6127907873209,38.7812014713105,40.4254760516563,40.1571832943741
"14019","SH3BP1",9.55335669129044,11.1534906200834,9.12635826960723,8.40319769683023,6.86557155233727,8.75190718644104,6.05921996453574
"14020","PDXP",14.4793062352371,12.9560749627231,14.5707030304419,12.8048726808842,13.5455871167735,15.1074588337375,6.17802819913448
"14021","LGALS1",493.639852782773,293.933909371692,478.944987948801,673.456272560252,550.977580074058,426.863854081535,368.780760194489
"14022","NOL12",16.1212894165526,20.0537508118671,16.427444885293,14.5388658564206,15.4629989917506,13.9613757497988,19.0093175357984
"14023","TRIOBP",28.9586124704742,15.0966438696078,13.3433651941844,13.8719454042912,12.3703991934005,15.8367844326076,24.7121127965379
"14024","H1-0",77.4717519184334,73.3426504411543,65.6468391393127,70.0266474735853,68.9649755032077,63.9722739580334,65.819761967702
"14025","GCAT",33.2874772212151,33.6857949030801,39.4006915639595,38.0144657713749,34.2660057657194,33.4447881767569,24.4744963273405
"14026","ANKRD54",24.4804765214318,30.0806262178006,29.7393398785477,28.8109635319894,24.5552423989,23.9635553914457,26.494236315519
"14027","EIF3L",178.52835316849,166.739051694176,162.669468605516,168.330722117456,182.958204070393,172.745977560943,167.638419018822
"14028","MICALL1",5.6723055354537,3.94315324952443,3.61907310691321,2.93444998936929,4.9481596773602,4.48014296448768,18.6528928320022
"14029","POLR2F",140.314926403328,113.900798150548,109.17012702506,103.239285989629,111.642852720439,102.105583841812,149.817183829011
"14030","SOX10",28.8093412721727,21.5183505902619,22.8473658749477,26.8102021756012,32.4722978826763,52.4072537473791,199.479025891285
"14031","PICK1",46.5726138700409,49.9090539868378,52.4608249497767,53.0868679894989,44.9664010680108,42.3008847344651,55.4834455576116
"14032","SLC16A8",4.92594954394664,5.74573759216417,4.53170893387393,5.60213179788682,5.93779161283224,5.31365793462492,9.26704229870172
"14033","BAIAP2L2",13.1358654505244,14.6459977839479,16.5847958899414,17.0731635745122,16.2052229433546,9.27285404277682,10.0986999408929
"14034","PLA2G6",29.8542396602826,31.8832105604404,31.5960817333988,35.0800157820056,37.0493455842345,37.5081736561759,38.375059775393
"14035","MAFF",9.40408549298903,5.97106063499413,5.22405335432689,5.7355158883127,6.37075558460125,5.93879416222785,6.41564466833196
"14036","TMEM184B",98.3697196806313,106.352476215745,115.338286407278,123.647051824788,119.188796228414,117.94236827442,134.728538034971
"14037","CSNK1E",101.205872448358,102.40932296622,100.421411166609,105.106663255591,110.220256813198,102.626530698148,113.461864041797
"14038","KCNJ4",81.8006166691744,116.829997707338,109.075716422271,96.4366973779089,97.7261536278639,95.5416534519814,47.1668691356998
"14039","KDELR3",5.22449194054946,4.16847629235439,3.65054330784289,3.20121817022104,3.95852774188816,5.31365793462492,4.98994585314708
"14040","DDX17",253.163952319197,256.755607304748,236.592970589335,221.28420601653,237.07870054152,251.61733161018,327.554302788726
"14041","FAM227A",2.2390679745212,3.83049172810944,1.79380145299176,1.06707272340701,1.97926387094408,1.77121931154164,3.5642470379622
"14042","CBY1",29.257154867077,20.2790738546971,18.69329935223,18.6737726596227,19.2978227417048,19.7959805407595,23.286413981353
"14043","TOMM22",115.08809389039,123.026381385162,140.199745141725,138.852838133338,122.343248022731,112.107763483459,81.5024489347357
"14044","JOSD1",43.1393763091084,61.0625446069211,53.8455137906826,55.8879338884424,57.1512442735103,56.991586083134,46.3352114935086
"14045","GTPBP1",31.6454940398996,34.699748595815,30.2113928924929,28.14404307986,29.1941420964252,32.5070838353525,39.4443338867817
"14046","SUN2",75.3819551422137,63.3157750352208,69.5176738536633,83.0982883353212,84.7372344747934,119.40101947216,398.007585905779
"14047","DNAL4",23.137035736719,26.8134420967661,26.7496707902281,27.6105067181565,26.039690302108,27.0892365294604,20.4350163509833
"14048","NPTXR",386.313861204057,567.588744888688,424.060957527439,391.215537219096,412.305405116038,360.182656470556,170.727433118389
"14049","CBX6",360.340672699611,350.602654643429,340.696395264717,338.662205591301,305.548860076992,289.542262751425,204.944204682827
"14050","APOBEC3C",3.28396636263109,2.25323042829967,1.44762924276528,1.7339931755364,1.42259590724106,1.45865119774017,2.3761646919748
"14051","APOBEC3G",3.13469516432968,1.57726129980977,1.91968225671049,2.40091362766578,2.22667185481209,2.50054491041173,3.80186350715968
"14052","CBX7",104.788381207592,113.112167500644,111.813623903153,111.909251867311,114.178784555087,97.4170621347902,72.1165984014352
"14053","PDGFB",16.1212894165526,19.8284277690371,16.9939085020272,13.4717931330136,13.9785510885426,14.6907013486689,12.9500975712627
"14054","RPL3",873.087238864966,691.741741488,686.018910066096,746.684138204058,766.779194002929,763.603902016981,867.775345509197
"14055","SYNGR1",213.756355967624,271.176282045866,310.390591769435,325.190412458287,359.360096568284,301.003093590812,189.736750654188
"14056","TAB1",18.8081709859781,18.4764895120573,19.8891669875578,19.2073090213262,18.9885627618698,19.0666549418894,29.5832504150863
"14057","MGAT3",66.2764120458275,87.8759867036872,77.6999260953801,71.360488377844,73.6038752007329,74.2870217134817,71.1661325246453
"14058","MIEF1",27.9137140823643,27.376749703841,28.1973000329934,26.6768180851753,28.4519181448211,28.0269408708648,23.5240304505505
"14059","ATF4",185.096285893752,156.712176288242,187.625337942753,224.752192367602,219.14162171109,190.353981305093,211.24104111656
"14060","RPS19BP1",197.48579535277,171.921481679265,189.419139395744,198.208758372853,197.246015138771,181.393695376117,167.87603548802
"14061","CACNA1I",22.6892221418148,28.0527188323309,29.8652206822664,29.0777317128411,40.2656493745186,34.2783031468941,18.8905093011997
