gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
KCNB1,3745,Temporal,++++,NA,ubiquitous
KCNB2,9312,V1,++,NA,ubiquitous
KCNB2,9312,V2,++,NA,ubiquitous
KCNB2,9312,Temporal,++,NA,ubiquitous
KCNC1,3746,V1,+++++,NA,scattered+ubiquitous
KCNC1,3746,V2,+++++,NA,scattered+ubiquitous
KCNC1,3746,Temporal,+++++,NA,scattered+ubiquitous
KCNC2,3747,V1,++++,interneuron,"scattered,4C"
KCNC2,3747,V2,++++,interneuron,scattered
KCNC2,3747,Temporal,++++,interneuron,scattered
KCNC3,3748,V1,+++++,NA,scattered+ubiquitous
KCNC3,3748,V2,+++++,NA,layer 3(5/6)
KCNC3,3748,Temporal,+++++,NA,scattered+ubiquitous
KCNC4,3749,V1,++,NA,ubiquitous
KCNC4,3749,V2,++,NA,ubiquitous
KCNC4,3749,Temporal,++,NA,ubiquitous
KCND1,3750,V1,++++,NA,ubiquitous
KCND1,3750,V2,++++,NA,ubiquitous
KCND1,3750,Temporal,++++,NA,NA
KCND2,3751,V1,-,NA,none
KCND2,3751,V2,-,NA,none
KCND2,3751,Temporal,-,NA,none
KCND3,3752,V1,++,NA,ubiquitous
KCND3,3752,V2,++,NA,ubiquitous
KCND3,3752,Temporal,++,NA,ubiquitous
KCNE1,3753,V1,-,NA,none
KCNE1,3753,V2,-,NA,none
KCNE1,3753,Temporal,-,NA,NA
KCNE2,9992,V1,-,NA,none
KCNE2,9992,V2,-,NA,none
KCNE2,9992,Temporal,-,NA,none
KCNE3,10008,V1,+,NA,sparse to none
KCNE3,10008,V2,+,NA,sparse to none
KCNE3,10008,Temporal,+,NA,sparse to none
KCNE4,23704,V1,-,NA,none
KCNE4,23704,V2,-,NA,none
KCNE4,23704,Temporal,-,NA,none
KCNF1,3754,V1,+++,NA,"ubiquitous(2/3,4C,5/6)"
KCNF1,3754,V2,+++,NA,ubiquitous
KCNF1,3754,Temporal,+++,NA,ubiquitous
KCNG3,170850,V1,-,NA,none
KCNG3,170850,V2,-,NA,none
KCNG3,170850,Temporal,-,NA,none
KCNG4,93107,V1,++,NA,ubiquitous
KCNG4,93107,V2,++,NA,ubiquitous
KCNG4,93107,Temporal,++,NA,ubiquitous
KCNH1,3756,V1,+++,NA,ubiquitous(2/3)
KCNH1,3756,V2,+++,NA,ubiquitous(2/3)
KCNH1,3756,Temporal,+++,NA,ubiquitous(2/3)
KCNH2,3757,V1,++,NA,scattered
KCNH2,3757,V2,++,NA,scattered
KCNH2,3757,Temporal,++,NA,NA
KCNH3,23416,V1,++++,NA,"ubiquitous(2/3,4C,5/6)"
KCNH3,23416,V2,++++,NA,ubiquitous
KCNH3,23416,Temporal,++++,NA,ubiquitous
KCNH4,23415,V1,+++,layer 2,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 2,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 2,NA
KCNH4,23415,V1,+++,layer 2,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 2,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 2,NA
KCNH4,23415,V1,+++,layer 2,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 2,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 2,NA
KCNH4,23415,V1,+++,layer 3,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 3,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 3,NA
KCNH4,23415,V1,+++,layer 3,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 3,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 3,NA
KCNH4,23415,V1,+++,layer 3,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 3,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 3,NA
KCNH4,23415,V1,+++,layer 6,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 6,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 6,NA
KCNH4,23415,V1,+++,layer 6,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 6,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 6,NA
KCNH4,23415,V1,+++,layer 6,"layer 2/3,6"
KCNH4,23415,V2,+++,layer 6,"ubiquitous(2/3,(6))"
KCNH4,23415,Temporal,+++,layer 6,NA
KCNH5,27133,V1,+++,NA,"layer 2/3,6"
KCNH5,27133,V2,+++,NA,"layer 2/3,6"
KCNH5,27133,Temporal,+++,NA,NA
KCNH6,81033,V1,+,NA,sparse to none
KCNH6,81033,V2,+,NA,sparse to none
KCNH6,81033,Temporal,+,NA,NA
KCNH7,90134,V1,++,NA,ubiquitous
KCNH7,90134,V2,++,NA,ubiquitous
KCNH7,90134,Temporal,++,NA,ubiquitous
KCNH8,131096,V1,+++,NA,layer 4C
KCNH8,131096,V2,+++,NA,scattered
KCNH8,131096,Temporal,+++,NA,scattered
KCNIP1,30820,V1,++++,interneuron,scattered+layer 4
KCNIP1,30820,V2,++++,interneuron,scattered
KCNIP1,30820,Temporal,++++,interneuron,scattered (5)
KCNIP1,30820,V1,++++,interneuron,scattered+layer 4
KCNIP1,30820,V2,++++,interneuron,scattered
KCNIP1,30820,Temporal,++++,interneuron,scattered (5)
KCNIP1,30820,V1,++++,layer 4,scattered+layer 4
KCNIP1,30820,V2,++++,layer 4,scattered
KCNIP1,30820,Temporal,++++,layer 4,scattered (5)
KCNIP1,30820,V1,++++,layer 4,scattered+layer 4
KCNIP1,30820,V2,++++,layer 4,scattered
KCNIP1,30820,Temporal,++++,layer 4,scattered (5)
KCNIP2,30819,V1,+++++,interneuron,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,interneuron,scattered+layer 2
KCNIP2,30819,Temporal,+++++,interneuron,NA
KCNIP2,30819,V1,+++++,interneuron,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,interneuron,scattered+layer 2
KCNIP2,30819,Temporal,+++++,interneuron,NA
KCNIP2,30819,V1,+++++,interneuron,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,interneuron,scattered+layer 2
KCNIP2,30819,Temporal,+++++,interneuron,NA
KCNIP2,30819,V1,+++++,layer 2,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,layer 2,scattered+layer 2
KCNIP2,30819,Temporal,+++++,layer 2,NA
KCNIP2,30819,V1,+++++,layer 2,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,layer 2,scattered+layer 2
KCNIP2,30819,Temporal,+++++,layer 2,NA
KCNIP2,30819,V1,+++++,layer 2,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,layer 2,scattered+layer 2
KCNIP2,30819,Temporal,+++++,layer 2,NA
KCNIP2,30819,V1,+++++,layer 3,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,layer 3,scattered+layer 2
KCNIP2,30819,Temporal,+++++,layer 3,NA
KCNIP2,30819,V1,+++++,layer 3,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,layer 3,scattered+layer 2
KCNIP2,30819,Temporal,+++++,layer 3,NA
KCNIP2,30819,V1,+++++,layer 3,"scattered+layer 2/3,4C,6"
KCNIP2,30819,V2,+++++,layer 3,scattered+layer 2
KCNIP2,30819,Temporal,+++++,layer 3,NA
KCNIP3,30818,V1,++++,NA,"ubiquitous(2/3,4C,5/6)"
KCNIP3,30818,V2,++++,NA,ubiquitous
KCNIP3,30818,Temporal,++++,NA,ubiquitous
KCNJ1,3758,V1,-,NA,none
KCNJ1,3758,V2,-,NA,none
KCNJ1,3758,Temporal,-,NA,NA
KCNJ10,3766,V1,+++,NA,scattered
KCNJ10,3766,V2,+++,NA,scattered
KCNJ10,3766,Temporal,+++,NA,NA
KCNJ11,3767,V1,++,NA,ubiquitous
KCNJ11,3767,V2,++,NA,ubiquitous
KCNJ11,3767,Temporal,++,NA,NA
KCNJ12,3768,V1,+++,NA,scattered
KCNJ12,3768,V2,+++,NA,scattered
KCNJ12,3768,Temporal,+++,NA,scattered
KCNJ13,3769,V1,-,NA,none
KCNJ13,3769,V2,-,NA,none
KCNJ13,3769,Temporal,-,NA,NA
KCNJ14,3770,V1,-,NA,none
KCNJ14,3770,V2,-,NA,none
KCNJ14,3770,Temporal,-,NA,none
KCNJ15,3772,V1,-,NA,none
KCNJ15,3772,V2,-,NA,none
KCNJ15,3772,Temporal,-,NA,none
KCNJ16,3773,V1,-,NA,none
KCNJ16,3773,V2,-,NA,none
KCNJ16,3773,Temporal,-,NA,none
KCNJ2,3759,V1,+,NA,ubiquitous
KCNJ2,3759,V2,+,NA,ubiquitous
KCNJ2,3759,Temporal,+,NA,ubiquitous
KCNJ3,3760,V1,++++,NA,ubiquitous
KCNJ3,3760,V2,++++,NA,ubiquitous
KCNJ3,3760,Temporal,++++,NA,ubiquitous
KCNJ4,3761,V1,+++,NA,"layer 2/3,4C,5/6"
KCNJ4,3761,V2,+++,NA,ubiquitous
KCNJ4,3761,Temporal,+++,NA,ubiquitous
KCNJ5,3762,V1,++,NA,sparse
KCNJ5,3762,V2,++,NA,sparse
KCNJ5,3762,Temporal,++,NA,sparse
KCNJ6,3763,V1,+++,NA,ubiquitous
KCNJ6,3763,V2,+++,NA,ubiquitous
KCNJ6,3763,Temporal,+++,NA,ubiquitous
KCNJ8,3764,V1,-,NA,none
KCNJ8,3764,V2,-,NA,ubiquitous
KCNJ8,3764,Temporal,-,NA,ubiquitous
KCNK1,3775,V1,+++++,NA,"scattered+2/3,4C,5/6"
KCNK1,3775,V2,+++++,NA,scattered+ubiquitous
KCNK1,3775,Temporal,+++++,NA,scattered+ubiquitous
KCNK10,54207,V1,+,NA,ubiquitous
KCNK10,54207,V2,+,NA,ubiquitous
KCNK10,54207,Temporal,+,NA,NA
KCNK13,56659,V1,++,NA,ubiquitous
KCNK13,56659,V2,++,NA,ubiquitous
KCNK13,56659,Temporal,++,NA,ubiquitous
KCNK15,60598,V1,+,NA,ubiquitous
KCNK15,60598,V2,+,NA,ubiquitous
KCNK15,60598,Temporal,+,NA,NA
KCNK16,83795,V1,+,NA,ubiquitous
KCNK16,83795,V2,+,NA,ubiquitous
KCNK16,83795,Temporal,+,NA,NA
KCNK17,89822,V1,-,NA,none
KCNK17,89822,V2,-,NA,none
KCNK17,89822,Temporal,-,NA,NA
KCNK18,338567,V1,-,NA,none
KCNK18,338567,V2,-,NA,none
KCNK18,338567,Temporal,-,NA,NA
KCNK2,3776,V1,++,layer 5,"layer 4C,5/6"
KCNK2,3776,V2,++,layer 5,"layer 5,6"
KCNK2,3776,Temporal,++,layer 5,"layer 5,6"
KCNK2,3776,V1,++,layer 5,"layer 4C,5/6"
KCNK2,3776,V2,++,layer 5,"layer 5,6"
KCNK2,3776,Temporal,++,layer 5,"layer 5,6"
KCNK2,3776,V1,++,layer 6,"layer 4C,5/6"
KCNK2,3776,V2,++,layer 6,"layer 5,6"
KCNK2,3776,Temporal,++,layer 6,"layer 5,6"
KCNK2,3776,V1,++,layer 6,"layer 4C,5/6"
KCNK2,3776,V2,++,layer 6,"layer 5,6"
KCNK2,3776,Temporal,++,layer 6,"layer 5,6"
KCNK3,3777,V1,+++++,NA,ubiquitous+oligodendrocyte
KCNK3,3777,V2,+++++,NA,ubiquitous+oligodendrocyte
KCNK3,3777,Temporal,+++++,NA,NA
KCNK4,50801,V1,++,NA,ubiquitous
KCNK4,50801,V2,++,NA,ubiquitous
KCNK4,50801,Temporal,++,NA,NA
KCNK5,8645,V1,++,NA,ubiquitous
KCNK5,8645,V2,++,NA,ubiquitous
KCNK5,8645,Temporal,++,NA,NA
KCNK6,9424,V1,+++++,NA,ubiquitous
KCNK6,9424,V2,+++++,NA,ubiquitous
KCNK6,9424,Temporal,+++++,NA,NA
KCNK7,10089,V1,-,NA,none
KCNK7,10089,V2,-,NA,none
KCNK7,10089,Temporal,-,NA,NA
KCNK9,51305,V1,++,NA,ubiquitous(6)
KCNK9,51305,V2,++,NA,ubiquitous
KCNK9,51305,Temporal,++,NA,NA
KCNMB1,3779,V1,+,NA,ubiquitous
KCNMB1,3779,V2,+,NA,ubiquitous
KCNMB1,3779,Temporal,+,NA,NA
KCNMB2,10242,V1,-,NA,none
KCNMB2,10242,V2,-,NA,none
KCNMB2,10242,Temporal,-,NA,NA
KCNMB3,27094,V1,+,NA,ubiquitous
KCNMB3,27094,V2,+,NA,ubiquitous
KCNMB3,27094,Temporal,+,NA,NA
KCNMB4,27345,V1,+++,NA,"ubiquitous(4C,5/6)"
KCNMB4,27345,V2,+++,NA,"ubiquitous(5,6)"
KCNMB4,27345,Temporal,+++,NA,"ubiquitous(5,6)"
KCNN1,3780,V1,++,NA,ubiquitous
KCNN1,3780,V2,++,NA,ubiquitous
KCNN1,3780,Temporal,++,NA,NA
KCNN2,3781,V1,+++,NA,sparse(5)+ubiquitous
KCNN2,3781,V2,+++,NA,sparse+ubiquitous
KCNN2,3781,Temporal,+++,NA,sparse+ubiquitous
KCNN3,3782,V1,-,NA,none
KCNN3,3782,V2,-,NA,none
KCNN3,3782,Temporal,-,NA,NA
KCNN4,3783,V1,+,NA,sparse to none
KCNN4,3783,V2,+,NA,sparse to none
KCNN4,3783,Temporal,+,NA,sparse to none
KCNQ1,3784,V1,++,NA,ubiquitous
KCNQ1,3784,V2,++,NA,ubiquitous
KCNQ1,3784,Temporal,++,NA,NA
KCNQ2,3785,V1,++++,NA,ubiquitous
KCNQ2,3785,V2,++++,NA,ubiquitous
KCNQ2,3785,Temporal,++++,NA,NA
KCNQ3,3786,V1,+++,NA,"layer 2/3,4C,5/6"
KCNQ3,3786,V2,+++,NA,ubiquitous
KCNQ3,3786,Temporal,+++,NA,ubiquitous
KCNQ4,9132,V1,+,NA,ubiquitous
KCNQ4,9132,V2,+,NA,ubiquitous
KCNQ4,9132,Temporal,+,NA,ubiquitous
KCNQ5,56479,V1,+++,NA,"layer (2/3),4C,5/6"
KCNQ5,56479,V2,+++,NA,"layer(2/)3,5,6"
KCNQ5,56479,Temporal,+++,NA,"layer(2/)3,5,6"
KCNS2,3788,V1,++,NA,"layer 2/3,4C,5/6"
KCNS2,3788,V2,++,NA,ubiquitous
KCNS2,3788,Temporal,++,NA,ubiquitous
KCNS3,3790,V1,+++,interneuron,scattered
KCNS3,3790,V2,+++,interneuron,scattered
KCNS3,3790,Temporal,+++,interneuron,scattered
KCNT1,57582,V1,+++++,NA,ubiquitous
KCNT1,57582,V2,+++++,NA,ubiquitous
KCNT1,57582,Temporal,+++++,NA,NA
KCNT2,343450,V1,-,NA,none
KCNT2,343450,V2,-,NA,none
KCNT2,343450,Temporal,-,NA,NA
KCNV1,27012,V1,+++,NA,"layer 2/3,4C,5/6"
KCNV1,27012,V2,+++,NA,"layer 2/3,5,6"
KCNV1,27012,Temporal,+++,NA,NA
KCNV2,169522,V1,+,NA,ubiquitous
KCNV2,169522,V2,+,NA,ubiquitous
KCNV2,169522,Temporal,+,NA,ubiquitous
KCTD12,115207,V1,++++,interneuron,sparse
KCTD12,115207,V2,++++,interneuron,sparse
KCTD12,115207,Temporal,++++,interneuron,sparse
KCTD4,386618,V1,++,NA,scattered
KCTD4,386618,V2,++,NA,scattered
KCTD4,386618,Temporal,++,NA,scattered
KDM5C,8242,V1,++++,NA,ubiquitous
KDM5C,8242,V2,++++,NA,ubiquitous
KDM5C,8242,Temporal,++++,NA,NA
MINAR1,23251,V1,+,NA,ubiquitous
MINAR1,23251,V2,+,NA,ubiquitous
MINAR1,23251,Temporal,+,NA,ubiquitous
CEMIP,57214,V1,+++,interneuron,scattered+layer 4C
CEMIP,57214,V2,+++,interneuron,scattered
CEMIP,57214,Temporal,+++,interneuron,scattered
KIFBP,26128,V1,++++,NA,ubiquitous
KIFBP,26128,V2,++++,NA,ubiquitous
KIFBP,26128,Temporal,++++,NA,NA
FAM214A,56204,V1,+++,NA,ubiquitous
FAM214A,56204,V2,+++,NA,ubiquitous
FAM214A,56204,Temporal,+++,NA,ubiquitous
TRMT9B,57604,V1,++++,layer 4,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 4,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 4,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 4,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 4,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 4,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 4,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 4,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 4,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 5,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 5,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 5,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 5,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 5,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 5,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 5,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 5,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 5,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 6,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 6,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 6,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 6,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 6,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 6,"ubiquitous(4,5,6)"
TRMT9B,57604,V1,++++,layer 6,"ubiquitous(2/3,4C,5/6)"
TRMT9B,57604,V2,++++,layer 6,"ubiquitous(4,5,6)"
TRMT9B,57604,Temporal,++++,layer 6,"ubiquitous(4,5,6)"
KIT,3815,V1,+++++,interneuron,scattered
KIT,3815,V2,+++++,interneuron,scattered
KIT,3815,Temporal,+++++,interneuron,scattered
KLK6,5653,V1,++++,NA,"scattered(5/6,deep)"
KLK6,5653,V2,++++,NA,"scattered(5/6,deep)"
KLK6,5653,Temporal,++++,NA,"scattered(5/6,deep)"
KRT80,144501,V1,++,NA,scattered
KRT80,144501,V2,++,NA,scattered
KRT80,144501,Temporal,++,NA,scattered
KRT9,3857,V1,+,NA,sparse to none
KRT9,3857,V2,+,NA,sparse to none
KRT9,3857,Temporal,+,NA,sparse to none
L1CAM,3897,V1,++++,NA,ubiquitous
L1CAM,3897,V2,++++,NA,ubiquitous
L1CAM,3897,Temporal,++++,NA,ubiquitous
LARGE1,9215,V1,++++,NA,"layer 2/3,4C,5/6"
LARGE1,9215,V2,++++,NA,ubiquitous(6)
LARGE1,9215,Temporal,++++,NA,ubiquitous(6)
LAYN,143903,V1,+,NA,ubiquitous
LAYN,143903,V2,+,NA,ubiquitous
LAYN,143903,Temporal,+,NA,ubiquitous
LDLR,3949,V1,++,NA,ubiquitous
LDLR,3949,V2,++,NA,ubiquitous
LDLR,3949,Temporal,++,NA,ubiquitous
LEPR,3953,V1,+++,NA,scattered
LEPR,3953,V2,+++,NA,scattered
LEPR,3953,Temporal,+++,NA,scattered
LGALS1,3956,V1,++++,layer 3,scattered+layer 5/6
LGALS1,3956,V2,++++,layer 3,"layer 3,5/6"
LGALS1,3956,Temporal,++++,layer 3,"layer 3,5/6"
LGALS1,3956,V1,++++,layer 3,scattered+layer 5/6
LGALS1,3956,V2,++++,layer 3,"layer 3,5/6"
LGALS1,3956,Temporal,++++,layer 3,"layer 3,5/6"
LGALS1,3956,V1,++++,layer 5,scattered+layer 5/6
LGALS1,3956,V2,++++,layer 5,"layer 3,5/6"
LGALS1,3956,Temporal,++++,layer 5,"layer 3,5/6"
LGALS1,3956,V1,++++,layer 5,scattered+layer 5/6
LGALS1,3956,V2,++++,layer 5,"layer 3,5/6"
LGALS1,3956,Temporal,++++,layer 5,"layer 3,5/6"
LGI1,9211,V1,+++,NA,"ubiquitous(4c,6)"
LGI1,9211,V2,+++,NA,ubiquitous(6)
LGI1,9211,Temporal,+++,NA,ubiquitous
LGI2,55203,V1,++++,interneuron,scattered
LGI2,55203,V2,++++,interneuron,scattered
LGI2,55203,Temporal,++++,interneuron,scattered
LGI3,203190,V1,+++++,NA,"scattered(3,5)+ubiquitous"
LGI3,203190,V2,+++++,NA,"scattered(3,5)+ubiquitous"
LGI3,203190,Temporal,+++++,NA,"scattered(3,5)+ubiquitous"
LGR4,55366,V1,-,NA,none
LGR4,55366,V2,-,NA,none
LGR4,55366,Temporal,-,NA,NA
LGR5,8549,V1,-,NA,none
LGR5,8549,V2,-,NA,none
LGR5,8549,Temporal,-,NA,none
LGR6,59352,V1,+,NA,ubiquitous(6)
LGR6,59352,V2,+,NA,ubiquitous(6)
LGR6,59352,Temporal,+,NA,NA
LHX1,3975,V1,+,NA,ubiquitous
LHX1,3975,V2,+,NA,ubiquitous
LHX1,3975,Temporal,+,NA,ubiquitous
LHX6,26468,V1,+++,interneuron,scattered
LHX6,26468,V2,+++,interneuron,scattered
LHX6,26468,Temporal,+++,interneuron,scattered
LIG4,3981,V1,+,NA,ubiquitous
LIG4,3981,V2,+,NA,ubiquitous
LIG4,3981,Temporal,+,NA,NA
LSP1P5,645166,V1,+++,NA,"ubiquitous(2/3,5/6)"
LSP1P5,645166,V2,+++,NA,"ubiquitous(2/3,5/6)"
LSP1P5,645166,Temporal,+++,NA,NA
LOC727820,727820,V1,+++,NA,ubiquitous
LOC727820,727820,V2,+++,NA,ubiquitous
LOC727820,727820,Temporal,+++,NA,NA
LOC727983,727983,V1,++,NA,ubiquitous
LOC727983,727983,V2,++,NA,ubiquitous
LOC727983,727983,Temporal,++,NA,NA
ARHGEF34P,728377,V1,+++,NA,ubiquitous
ARHGEF34P,728377,V2,+++,NA,ubiquitous
ARHGEF34P,728377,Temporal,+++,NA,NA
LRP1,4035,V1,++++,NA,ubiquitous
LRP1,4035,V2,++++,NA,ubiquitous
LRP1,4035,Temporal,++++,NA,NA
LRP2,4036,V1,++,NA,sparse
LRP2,4036,V2,++,NA,sparse
LRP2,4036,Temporal,++,NA,NA
LRP8,7804,V1,++++,NA,scattered
LRP8,7804,V2,++++,NA,scattered
LRP8,7804,Temporal,++++,NA,scattered
LRRC1,55227,V1,+,NA,ubiquitous
LRRC1,55227,V2,+,NA,ubiquitous
LRRC1,55227,Temporal,+,NA,ubiquitous
LRRC15,131578,V1,++,NA,ubiquitous
LRRC15,131578,V2,++,NA,ubiquitous
LRRC15,131578,Temporal,++,NA,NA
LRRK2,120892,V1,+++,NA,layer 4C+scattered(2/3)
LRRK2,120892,V2,+++,NA,scattered(2/3)
LRRK2,120892,Temporal,+++,NA,NA
LRRN3,54674,V1,+++,NA,"ubiquitous(2/3,6)"
LRRN3,54674,V2,+++,NA,ubiquitous
LRRN3,54674,Temporal,+++,NA,ubiquitous
LSAMP,4045,V1,++++,NA,scattered+ubiquitous
LSAMP,4045,V2,++++,NA,scattered+ubiquitous
LSAMP,4045,Temporal,++++,NA,scattered+ubiquitous
LXN,56925,V1,++,NA,sparse(6)
LXN,56925,V2,++,NA,sparse(6)
LXN,56925,Temporal,++,NA,sparse(6)
LYNX1,66004,V1,+++++,NA,scattered+ubiquitous
LYNX1,66004,V2,+++++,NA,scattered+ubiquitous
LYNX1,66004,Temporal,+++++,NA,scattered+ubiquitous
LYPD1,116372,V1,++++,interneuron,"scattered(2/3,5/6)"
LYPD1,116372,V2,++++,interneuron,"scattered(2/3,5,6)"
LYPD1,116372,Temporal,++++,interneuron,"scattered(2/3,5,6)"
LYPD6,130574,V1,++,NA,scattered+ubiquitous
LYPD6,130574,V2,++,NA,scattered+ubiquitous
LYPD6,130574,Temporal,++,NA,scattered+ubiquitous
MAD1L1,8379,V1,++,NA,ubiquitous
MAD1L1,8379,V2,++,NA,ubiquitous
MAD1L1,8379,Temporal,++,NA,ubiquitous
MAFB,9935,V1,+++,interneuron,scattered+ubiquitous
MAFB,9935,V2,+++,interneuron,scattered+ubiquitous
MAFB,9935,Temporal,+++,interneuron,scattered+ubiquitous
MAOA,4128,V1,NA,NA,N/A
MAOA,4128,V2,NA,NA,sparse to none
MAOA,4128,Temporal,NA,NA,sparse to none
MAOB,4129,V1,++++,NA,layer 5/6
MAOB,4129,V2,++++,NA,"ubiquitous(5,6)"
MAOB,4129,Temporal,++++,NA,"ubiquitous(5,6)"
MAP1A,4130,V1,+++++,NA,scattered+ubiquitous
MAP1A,4130,V2,+++++,NA,scattered+ubiquitous
MAP1A,4130,Temporal,+++++,NA,scattered+ubiquitous
MAPK1,5594,V1,++++,NA,"ubiquitous(2/3,5/6)"
MAPK1,5594,V2,++++,NA,"ubiquitous(2/3,5,6)"
MAPK1,5594,Temporal,++++,NA,NA
MAPK10,5602,V1,+++++,NA,ubiquitous
MAPK10,5602,V2,+++++,NA,ubiquitous
MAPK10,5602,Temporal,+++++,NA,NA
MAPT,4137,V1,+++++,NA,ubiquitous
MAPT,4137,V2,+++++,NA,ubiquitous
MAPT,4137,Temporal,+++++,NA,ubiquitous
MARCKSL1,65108,V1,+++++,NA,scattered+ubiquitous
MARCKSL1,65108,V2,+++++,NA,scattered+ubiquitous
MARCKSL1,65108,Temporal,+++++,NA,scattered+ubiquitous
MBP,4155,V1,+++++,oligodendrocyte,oligodendrocyte
MBP,4155,V2,+++++,oligodendrocyte,oligodendrocyte
MBP,4155,Temporal,+++++,oligodendrocyte,oligodendrocyte
MC1R,4157,V1,+,NA,ubiquitous
MC1R,4157,V2,+,NA,ubiquitous
MC1R,4157,Temporal,+,NA,NA
MC2R,4158,V1,-,NA,none
MC2R,4158,V2,-,NA,none
MC2R,4158,Temporal,-,NA,NA
MC3R,4159,V1,-,NA,none
MC3R,4159,V2,-,NA,none
MC3R,4159,Temporal,-,NA,none
MC5R,4161,V1,+,NA,ubiquitous
MC5R,4161,V2,+,NA,ubiquitous
MC5R,4161,Temporal,+,NA,NA
MCHR1,2847,V1,++,NA,ubiquitous
MCHR1,2847,V2,++,NA,ubiquitous
MCHR1,2847,Temporal,++,NA,ubiquitous
MCHR2,84539,V1,+++,NA,"ubiquitous(2/3,5/6)"
MCHR2,84539,V2,+++,NA,"ubiquitous(2,3,6)"
MCHR2,84539,Temporal,+++,NA,NA
MCM7,4176,V1,++,NA,ubiquitous
MCM7,4176,V2,++,NA,ubiquitous
MCM7,4176,Temporal,++,NA,NA
MCPH1,79648,V1,++,NA,ubiquitous
MCPH1,79648,V2,++,NA,ubiquitous
MCPH1,79648,Temporal,++,NA,NA
MECP2,4204,V1,++++,NA,ubiquitous
MECP2,4204,V2,++++,NA,ubiquitous
MECP2,4204,Temporal,++++,NA,ubiquitous
MEPCE,56257,V1,++++,NA,ubiquitous
MEPCE,56257,V2,++++,NA,ubiquitous
MEPCE,56257,Temporal,++++,NA,NA
MET,4233,V1,+++++,NA,ubiquitous+oligodendrocyte
MET,4233,V2,+++++,NA,ubiquitous+oligodendrocyte
MET,4233,Temporal,+++++,NA,ubiquitous+oligodendrocyte
MFGE8,4240,V1,+++,layer 3,scattered
MFGE8,4240,V2,+++,layer 3,layer 3
MFGE8,4240,Temporal,+++,layer 3,layer 3
MME,4311,V1,++,NA,layer 6
MME,4311,V2,++,NA,ubiquitous
MME,4311,Temporal,++,NA,ubiquitous
MOBP,4336,V1,+++++,oligodendrocyte,oligodendrocyte
