gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
GRIK2,2898,V2,++++,NA,"scattered+2/3,5,6"
GRIK2,2898,Temporal,++++,NA,"scattered+2/3,5,6"
GRIK3,2899,V1,++++,NA,scattered+layer 5/6
GRIK3,2899,V2,++++,NA,"scattered+layer(5),6"
GRIK3,2899,Temporal,++++,NA,"scattered+layer(5),6"
GRIK4,2900,V1,++++,layer 4,"layer 4C,6,(2)"
GRIK4,2900,V2,++++,layer 4,"ubiquitous(2,6)"
GRIK4,2900,Temporal,++++,layer 4,"ubiquitous(2,6)"
GRIK4,2900,V1,++++,layer 4,"layer 4C,6,(2)"
GRIK4,2900,V2,++++,layer 4,"ubiquitous(2,6)"
GRIK4,2900,Temporal,++++,layer 4,"ubiquitous(2,6)"
GRIK4,2900,V1,++++,layer 6,"layer 4C,6,(2)"
GRIK4,2900,V2,++++,layer 6,"ubiquitous(2,6)"
GRIK4,2900,Temporal,++++,layer 6,"ubiquitous(2,6)"
GRIK4,2900,V1,++++,layer 6,"layer 4C,6,(2)"
GRIK4,2900,V2,++++,layer 6,"ubiquitous(2,6)"
GRIK4,2900,Temporal,++++,layer 6,"ubiquitous(2,6)"
GRIK5,2901,V1,+++,NA,ubiquitous
GRIK5,2901,V2,+++,NA,ubiquitous
GRIK5,2901,Temporal,+++,NA,ubiquitous
GRIN1,2902,V1,+++++,NA,ubiquitous
GRIN1,2902,V2,+++++,NA,ubiquitous
GRIN1,2902,Temporal,+++++,NA,ubiquitous
GRIN2A,2903,V1,+++++,NA,ubiquitous
GRIN2A,2903,V2,+++++,NA,ubiquitous
GRIN2A,2903,Temporal,+++++,NA,ubiquitous
GRIN2B,2904,V1,+++,NA,ubiquitous
GRIN2B,2904,V2,+++,NA,ubiquitous
GRIN2B,2904,Temporal,+++,NA,ubiquitous
GRIN2C,2905,V1,+++,NA,layer 4C+scattered
GRIN2C,2905,V2,+++,NA,ubiquitous
GRIN2C,2905,Temporal,+++,NA,NA
GRIN2D,2906,V1,++++,NA,ubiquitous
GRIN2D,2906,V2,++++,NA,ubiquitous
GRIN2D,2906,Temporal,++++,NA,ubiquitous
GRIN3A,116443,V1,++++,interneuron,scattered
GRIN3A,116443,V2,++++,interneuron,scattered
GRIN3A,116443,Temporal,++++,interneuron,"scattered(5,6)"
GRIN3A,116443,V1,++++,interneuron,scattered
GRIN3A,116443,V2,++++,interneuron,scattered
GRIN3A,116443,Temporal,++++,interneuron,"scattered(5,6)"
GRIN3A,116443,V1,++++,interneuron,scattered
GRIN3A,116443,V2,++++,interneuron,scattered
GRIN3A,116443,Temporal,++++,interneuron,"scattered(5,6)"
GRIN3A,116443,V1,++++,layer 5,scattered
GRIN3A,116443,V2,++++,layer 5,scattered
GRIN3A,116443,Temporal,++++,layer 5,"scattered(5,6)"
GRIN3A,116443,V1,++++,layer 5,scattered
GRIN3A,116443,V2,++++,layer 5,scattered
GRIN3A,116443,Temporal,++++,layer 5,"scattered(5,6)"
GRIN3A,116443,V1,++++,layer 5,scattered
GRIN3A,116443,V2,++++,layer 5,scattered
GRIN3A,116443,Temporal,++++,layer 5,"scattered(5,6)"
GRIN3A,116443,V1,++++,layer 6,scattered
GRIN3A,116443,V2,++++,layer 6,scattered
GRIN3A,116443,Temporal,++++,layer 6,"scattered(5,6)"
GRIN3A,116443,V1,++++,layer 6,scattered
GRIN3A,116443,V2,++++,layer 6,scattered
GRIN3A,116443,Temporal,++++,layer 6,"scattered(5,6)"
GRIN3A,116443,V1,++++,layer 6,scattered
GRIN3A,116443,V2,++++,layer 6,scattered
GRIN3A,116443,Temporal,++++,layer 6,"scattered(5,6)"
GRIN3B,116444,V1,+,NA,ubiquitous
GRIN3B,116444,V2,+,NA,ubiquitous
GRIN3B,116444,Temporal,+,NA,ubiquitous
GRINA,2907,V1,+++++,NA,ubiquitous
GRINA,2907,V2,+++++,NA,ubiquitous
GRINA,2907,Temporal,+++++,NA,ubiquitous
POLR2M,81488,V1,++,NA,ubiquitous
POLR2M,81488,V2,++,NA,ubiquitous
POLR2M,81488,Temporal,++,NA,ubiquitous
GRIP1,23426,V1,+++,NA,scattered
GRIP1,23426,V2,+++,NA,scattered
GRIP1,23426,Temporal,+++,NA,scattered
GRIP2,80852,V1,++++,NA,scattered
GRIP2,80852,V2,++++,NA,scattered
GRIP2,80852,Temporal,++++,NA,scattered
GRM1,2911,V1,+++,NA,"scattered+layer 2/3,5/6"
GRM1,2911,V2,+++,NA,"scattered+layer 2/3,5,6"
GRM1,2911,Temporal,+++,NA,"scattered+layer 2/3,5,6"
GRM2,2912,V1,++,NA,"scattered(2/3,5/6)"
GRM2,2912,V2,++,NA,"scattered(2/3,5/6)"
GRM2,2912,Temporal,++,NA,"scattered(2,3)"
GRM3,2913,V1,+++,NA,scattered+ubiquitous
GRM3,2913,V2,+++,NA,scattered+ubiquitous
GRM3,2913,Temporal,+++,NA,scattered+ubiquitous
GRM4,2914,V1,+++,NA,"layer 4C,(6)+scattered"
GRM4,2914,V2,+++,NA,scattered
GRM4,2914,Temporal,+++,NA,scattered
GRM6,2916,V1,-,NA,none
GRM6,2916,V2,-,NA,none
GRM6,2916,Temporal,-,NA,NA
GRM7,2917,V1,+++,NA,"layer 2,3,4"
GRM7,2917,V2,+++,NA,"layer 2,3,4"
GRM7,2917,Temporal,+++,NA,NA
GRM8,2918,V1,+,NA,sparse to none
GRM8,2918,V2,+,NA,sparse to none
GRM8,2918,Temporal,+,NA,sparse to none
GRPR,2925,V1,+,NA,sparse to none
GRPR,2925,V2,+,NA,sparse to none
GRPR,2925,Temporal,+,NA,NA
GSG1L,146395,V1,++,layer 2,layer 6(2/3)
GSG1L,146395,V2,++,layer 2,layer 6(2/3)
GSG1L,146395,Temporal,++,layer 2,layer 6(2/3)
GSG1L,146395,V1,++,layer 2,layer 6(2/3)
GSG1L,146395,V2,++,layer 2,layer 6(2/3)
GSG1L,146395,Temporal,++,layer 2,layer 6(2/3)
GSG1L,146395,V1,++,layer 3,layer 6(2/3)
GSG1L,146395,V2,++,layer 3,layer 6(2/3)
GSG1L,146395,Temporal,++,layer 3,layer 6(2/3)
GSG1L,146395,V1,++,layer 3,layer 6(2/3)
GSG1L,146395,V2,++,layer 3,layer 6(2/3)
GSG1L,146395,Temporal,++,layer 3,layer 6(2/3)
GSK3B,2932,V1,++++,NA,scattered+ubiquitous
GSK3B,2932,V2,++++,NA,scattered+ubiquitous
GSK3B,2932,Temporal,++++,NA,NA
GSN,2934,V1,+++++,oligodendrocyte,oligodendrocyte
GSN,2934,V2,+++++,oligodendrocyte,oligodendrocyte
GSN,2934,Temporal,+++++,oligodendrocyte,oligodendrocyte
GTF2H2C,728340,V1,+++,NA,ubiquitous
GTF2H2C,728340,V2,+++,NA,ubiquitous
GTF2H2C,728340,Temporal,+++,NA,NA
GTF2I,2969,V1,+++++,NA,ubiquitous
GTF2I,2969,V2,+++++,NA,ubiquitous
GTF2I,2969,Temporal,+++++,NA,ubiquitous
GXYLT2,727936,V1,+,NA,ubiquitous
GXYLT2,727936,V2,+,NA,ubiquitous
GXYLT2,727936,Temporal,+,NA,ubiquitous
HAPLN1,1404,V1,+,NA,ubiquitous
HAPLN1,1404,V2,+,NA,ubiquitous
HAPLN1,1404,Temporal,+,NA,ubiquitous
HBD,3045,V1,+++++,vascular endothelial cell,VEC
HBD,3045,V2,+++++,vascular endothelial cell,VEC
HBD,3045,Temporal,+++++,vascular endothelial cell,VEC
HCN1,348980,V1,++++,NA,scattered+ubiquitous
HCN1,348980,V2,++++,NA,scattered+ubiquitous
HCN1,348980,Temporal,++++,NA,scattered+ubiquitous
HCN2,610,V1,++++,NA,scattered
HCN2,610,V2,++++,NA,scattered
HCN2,610,Temporal,++++,NA,scattered
HCN3,57657,V1,-,NA,none
