"","gene_symbol","Layer1","Layer2","Layer3","Layer4","Layer5","Layer6"
"6970","PPIA",10.524582563266,10.6621809574407,10.8375667818513,10.9029048744342,10.9153904098105,10.7885524761833
"6971","H2AZ2",7.4754598706889,7.4352339012683,7.28946846360307,7.41585855425911,7.47554382069158,7.49052583177712
"6972","PURB",6.26277246528765,6.41334737392785,6.13165017651498,6.10967533168688,6.01686439322821,6.02227001420129
"6973","MYO1G",2.25098587370071,1.3505404204926,1.57886706721069,1.59872993400912,1.55431336540357,1.62427927260522
"6974","SNHG15",5.20589465927448,5.512690594829,5.30908745993145,5.21363838178153,5.28583302056617,4.96409418832724
"6975","CCM2",7.0026312997289,6.91129652492658,7.14204629025236,7.32699894211933,7.09728844420251,7.06362242131416
"6976","NACAD",5.91735603387809,5.76764942868437,6.00904785676667,6.15422826126272,6.14538591077077,6.33089335772487
"6977","TBRG4",5.19661870620675,5.35799924124791,5.31438866005955,5.29919770974676,5.21961485720623,5.33719365165456
"6978","RAMP3",5.12080604328073,5.05545067066054,4.46758700214432,4.11152068807637,4.02123479946721,4.66150559643309
"6979","ADCY1",7.43879322190427,7.90845400868408,7.77728402866268,7.58716094421065,7.63885257783256,7.85635025743498
"6980","IGFBP1",0.518565185375176,0.360910566146785,0.730477765961908,0.845183321324778,0.857903430877103,0.478543074080794
"6981","IGFBP3",4.66284147008749,4.19807482556305,4.06311032829231,3.90142766145756,3.68942908381157,3.90863673282391
"6982","TNS3",6.06800571535967,5.1026023897964,5.14813268291712,4.85080568564937,5.06643001934201,5.27621089917844
"6983","LINC01447",0.317087079964776,0.178496618658084,0.269488172919877,0.178496618658083,0.178496618658083,0.312942685412412
"6984","C7orf65",0.178496618658084,0.178496618658084,0.234055436039376,0.178496618658083,0.267913282070445,0.344097007326465
"6985","HUS1",3.44852791381529,3.63481462037693,3.6075284240198,3.58131796310586,3.50544599696775,3.6418644838531
"6986","PKD1L1",0.651941977354329,0.270707075243236,0.298791583244893,0.558276301180644,0.286115780097805,0.273654002309478
"6987","SUN3",0.178496618658084,0.28237424105637,0.263701478973286,0.178496618658083,0.434583396660346,0.462699028378234
"6988","C7orf57",0.178496618658084,0.382092276633284,0.231295213548006,0.178496618658083,0.286115780097805,0.178496618658083
"6989","UPP1",4.60011215121551,4.45800839721641,4.54224011207692,4.7160594282548,4.44092021341326,4.32186922436303
"6990","VWC2",4.32867118204464,4.55386870847538,4.72273786086748,4.93235371850377,4.69214871713589,4.09215683801622
"6991","SPATA48",0.317087079964776,0.178496618658084,0.210560251474469,0.178496618658083,0.313193273210257,0.369134749546023
"6992","IKZF1",1.36583457994417,0.98731570473831,1.29451874540924,0.926625054147137,1.49476790052346,1.64779979126087
"6993","FIGNL1",2.33125174902732,3.05884323928868,2.59802797886628,2.69968513808612,2.80967505859453,2.2979668693029
"6994","DDC",0.178496618658084,0.399667300848235,0.579657023463965,0.315109046119033,0.473070769753267,0.336643286817139
"6995","GRB10",4.81385568386621,5.00809568211156,5.1585151955542,5.08705538028582,5.04098048635799,4.98671503653757
"6996","COBL",6.28878956254134,6.41908800289057,6.53571713620835,6.52974849937757,6.51462635604412,6.68823536137193
"6997","LINC01445",0.516653314459331,0.304474471825912,0.769223380354673,1.11859174999503,0.690458873618742,0.560150247833714
"6998","VSTM2A",7.02177320547337,7.42004781869369,7.38676435053459,7.07505264537708,6.45774613211456,5.9884824066153
"6999","SEC61G",8.17725959956819,8.29337528059964,8.35192255068095,8.26664712558631,8.21687060195646,8.00307468858538
"7000","EGFR",4.40767630231287,3.94591382138832,3.75335105197758,3.79897193671072,3.58827664724363,3.7605384927643
"7001","EGFR-AS1",0.279940912160248,0.304474471825912,0.245992988354971,0.433176768196287,0.27692307259575,0.178496618658083
"7002","LANCL2",5.81642765513898,6.18961370687706,6.17236066990034,5.94260603003389,5.8229628412164,5.77105118506877
"7003","VOPP1",6.44495732302442,6.51707492572775,6.59982531217499,6.50026898902161,6.73736756503248,6.43219873335798
"7004","ZNF713",0.957448869119871,1.10285698150259,1.10595880769377,1.05393101327323,0.852205381784103,1.51057470413443
"7005","NIPSNAP2",6.4542821758549,6.25975671420553,6.4174075149282,6.3732333600561,6.44910571515801,6.19769922262161
"7006","MRPS17",5.33192900248947,5.64956650738997,5.59524618021192,5.55753966053009,5.57169944528458,5.35428258314097
"7007","PSPH",4.18351214497252,4.36830317167985,4.33579807123978,4.04904354400491,4.07944898260467,4.11854549701036
"7008","CCT6A",6.52678620706538,6.77636178827328,6.77414104625911,6.82740685954327,6.83691875629734,6.79237802676935
"7009","SUMF2",5.85151128128212,5.66571051999801,5.68585258536528,5.53435862487511,5.61319587121539,5.65231588363494
"7010","PHKG1",4.56720129959046,4.29745662693829,4.45101207133819,4.14951468337716,4.11730242224707,4.04596724006897
