gene_symbol,He_Layer_Markers,Zeng_Layer_Markers,Maynard_Layer_Markers
KCNH4,2,3,2
KCNH4,2,6,2
KCNH5,3,NA,4
KCNH7,NA,NA,NA
KCNH8,6,NA,7
KCNIP1,NA,4,2
KCNIP2,2,2,2
KCNIP2,2,3,2
KCNIP3,NA,NA,5
KCNJ10,6,NA,7
KCNJ11,3,NA,NA
KCNJ12,NA,NA,NA
KCNJ13,1,NA,1
KCNJ14,NA,NA,NA
KCNJ16,2,NA,1
KCNJ2,NA,NA,7
KCNJ3,NA,NA,NA
KCNJ4,NA,NA,NA
KCNJ6,NA,NA,2
KCNJ8,5,NA,5
KCNK1,NA,NA,2
KCNK10,6,NA,NA
KCNK13,2,NA,NA
KCNK15,3,NA,7
KCNK2,NA,5,5
KCNK2,NA,6,5
KCNK3,NA,NA,2
KCNK6,NA,NA,1
KCNK7,NA,NA,NA
KCNK9,NA,NA,NA
KCNMB1,1,NA,1
KCNMB2,NA,NA,NA
KCNMB4,6,NA,6
KCNN2,2,NA,2
KCNN3,NA,NA,7
KCNQ1,NA,NA,NA
KCNQ2,NA,NA,NA
KCNQ3,NA,NA,5
KCNQ4,NA,NA,NA
KCNQ5,NA,NA,NA
KCNS2,NA,NA,2
KCNS3,NA,NA,NA
KCNT1,NA,NA,2
KCNT2,NA,NA,NA
KCNV1,NA,NA,2
KCTD12,1,NA,7
KCTD4,NA,NA,7
KDM5C,NA,NA,NA
KIT,NA,NA,1
KLK6,6,NA,7
L1CAM,NA,NA,2
LAYN,6,NA,7
LDLR,NA,NA,NA
LEPR,NA,NA,NA
LGALS1,NA,3,4
LGALS1,NA,5,4
LGI1,5,NA,NA
LGI2,NA,NA,NA
LGI3,NA,NA,7
LGR4,6,NA,NA
LGR5,6,NA,7
LHX6,NA,NA,5
LIG4,NA,NA,NA
LRP1,NA,NA,1
LRP2,6,NA,7
LRP8,NA,NA,NA
LRRC1,6,NA,7
LRRK2,3,NA,NA
LRRN3,NA,NA,6
LSAMP,NA,NA,NA
LXN,NA,NA,2
LYNX1,3,NA,4
LYPD1,NA,NA,2
LYPD6,NA,NA,NA
MAD1L1,NA,NA,4
MAFB,NA,NA,NA
MAOA,NA,NA,1
MAOB,NA,NA,5
MAP1A,NA,NA,NA
MAPK1,NA,NA,6
MAPK10,NA,NA,NA
MAPT,NA,NA,NA
MARCKSL1,6,NA,7
MBP,6,NA,7
MCHR1,NA,NA,NA
MCHR2,NA,NA,NA
MCM7,6,NA,7
MCPH1,NA,NA,NA
MECP2,NA,NA,NA
MEPCE,NA,NA,NA
MET,3,NA,4
MFGE8,3,3,4
MOBP,6,NA,7
MPDZ,6,NA,7
MTDH,6,NA,7
MYBPC1,NA,NA,1
NBN,NA,NA,NA
NBPF3,NA,NA,NA
NCAM1,6,NA,7
NCAN,NA,NA,1
NDE1,6,NA,7
NDEL1,NA,NA,2
NEFH,4,NA,4
NEFL,4,NA,4
NEFM,3,NA,4
NEK2,2,NA,3
NETO2,NA,NA,2
NGFR,6,NA,7
NLGN1,NA,NA,NA
NLGN2,2,NA,2
NLGN3,6,NA,NA
NLGN4X,NA,NA,2
NMB,1,NA,7
NNAT,NA,NA,2
NOS1,6,NA,7
NPAS1,NA,NA,1
NPAS3,6,NA,7
NPY,6,NA,7
NPY1R,NA,NA,NA
NPY2R,NA,6,5
NPY5R,NA,NA,NA
NR2F2,NA,NA,1
NR3C1,NA,NA,6
NR4A2,NA,6,6
NRCAM,NA,NA,NA
NRG1,5,NA,5
NRIP3,NA,NA,NA
NRXN1,NA,NA,3
NTNG2,5,6,6
NTRK2,NA,NA,1
NTRK3,2,NA,2
NTSR2,NA,NA,7
NUDT4,NA,NA,5
NXPH1,NA,NA,2
OMG,6,NA,7
OPHN1,NA,NA,NA
OPRD1,NA,NA,NA
OPRK1,NA,6,6
OPRL1,NA,NA,NA
PAFAH1B1,NA,NA,5
PAIP1,NA,NA,NA
PAK2,6,NA,7
PAK3,NA,NA,2
PARK7,NA,NA,NA
PARM1,NA,NA,4
PAX6,NA,NA,1
PCDH17,6,6,6
PCDH18,2,NA,1
PCDH20,NA,5,NA
PCDH20,NA,6,NA
PCDHA6,NA,NA,NA
PCNT,NA,NA,NA
PCP4,4,5,5
PCP4,4,6,5
PDE10A,NA,NA,NA
PDE1A,5,5,5
PDE1A,5,6,5
PDE4B,NA,NA,7
PDE4DIP,NA,NA,NA
PDE5A,NA,NA,1
PDHX,NA,NA,NA
PDLIM5,NA,NA,1
PDYN,NA,4,4
PEG3,NA,NA,6
PENK,2,2,2
PENK,2,3,2
PENK,2,6,2
PHF8,NA,NA,7
PHGDH,NA,NA,7
PIK3CB,NA,NA,6
PINK1,NA,NA,4
PLAU,NA,NA,7
PLAUR,NA,NA,7
PLTP,NA,NA,1
PLXNA2,NA,NA,NA
PLXND1,NA,NA,7
PNOC,NA,NA,1
POM121,NA,NA,NA
POMT1,NA,NA,7
PPP1R1B,NA,NA,1
PPP3CA,NA,NA,2
PPP3CB,NA,NA,6
PPP3CC,NA,NA,4
PQBP1,NA,NA,NA
PRKCB,NA,NA,6
PRKCG,NA,NA,2
PRLHR,2,NA,2
PRODH,NA,NA,NA
PRSS12,3,3,4
PRSS12,3,4,4
PRSS23,1,NA,NA
PSEN1,6,NA,7
PSEN2,3,NA,NA
PTEN,NA,NA,NA
PTGS2,NA,NA,NA
PTHLH,2,NA,3
PVALB,4,NA,4
QDPR,6,NA,7
QRFPR,NA,NA,5
RAB3B,6,NA,6
RAB3C,NA,NA,5
RAB3GAP1,NA,NA,NA
RAB3IP,6,NA,7
RAB6A,NA,NA,NA
RANBP9,NA,NA,5
RAPGEF4,6,NA,5
RASGRF2,2,2,2
RASGRF2,2,3,2
RASSF7,NA,NA,NA
RELN,1,1,1
REST,6,NA,7
RGS10,1,NA,7
RGS4,NA,NA,NA
RNASEH2A,6,NA,NA
RNASEH2B,NA,NA,NA
RNASEH2C,NA,NA,7
RND2,NA,NA,NA
RNF144B,NA,NA,NA
ROCK1,6,NA,7
RORB,4,4,4
RPRM,NA,5,5
RPRM,NA,6,5
RPS6KA3,NA,NA,NA
RRP8,NA,NA,7
RTN4,NA,NA,2
RTN4R,NA,NA,NA
RXFP1,5,5,6
RXFP1,5,6,6
S100A10,NA,NA,7
S100B,NA,NA,7
SCN1A,3,NA,4
SCN1B,4,NA,4
SCN2A,NA,NA,6
SCN2B,NA,NA,5
SCN3A,NA,NA,NA
SCN3B,NA,2,6
SCN3B,NA,3,6
SCN3B,NA,6,6
SCN4B,NA,3,NA
SCN4B,NA,5,NA
SCN5A,2,NA,2
SCN8A,NA,NA,NA
SCRT1,4,NA,4
SDK1,2,NA,2
SEMA3C,6,6,2
SEMA3F,NA,NA,1
SEMA4G,NA,NA,NA
SEMA5B,2,NA,2
SGK1,6,NA,7
SLA,6,NA,7
SLC17A7,NA,NA,6
SLC17A8,NA,NA,5
SLC18A2,6,NA,NA
SLC1A1,NA,NA,2
SLC1A2,NA,NA,1
SLC1A3,NA,NA,1
SLC1A4,NA,NA,NA
SLC1A5,1,NA,7
SLC1A6,NA,NA,2
SLC20A1,4,NA,5
SLC24A3,2,NA,2
SLC25A22,NA,NA,5
SLC2A1,1,NA,1
SLC32A1,2,NA,NA
SLC6A1,NA,NA,1
SLC6A11,NA,NA,NA
SLC6A12,NA,NA,7
SLC6A13,1,NA,NA
SLC6A7,3,NA,NA
SLC6A8,NA,NA,7
SMAD1,NA,NA,NA
SMS,NA,NA,5
SNAP23,6,NA,7
SNAP25,5,NA,5
SNAP29,6,NA,NA
SNAP91,4,NA,5
SNAPIN,NA,NA,7
SNCA,5,NA,5
SNCAIP,NA,NA,NA
SNCB,NA,NA,4
SNCG,4,3,4
SNCG,4,5,4
SNPH,NA,NA,4
SNTA1,NA,NA,1
SNTB1,NA,6,1
SNTB2,NA,NA,2
SNTG1,4,NA,4
SNX3,2,NA,3
SOD1,NA,NA,5
SORL1,4,NA,4
SPARC,NA,NA,7
SPP1,6,NA,7
SPTBN4,NA,NA,2
SPTLC1,6,NA,7
SRP9,NA,NA,7
SST,NA,NA,2
SSTR1,2,NA,2
SSTR3,3,NA,NA
STARD8,NA,NA,7
STEAP2,3,NA,NA
STRN,6,NA,7
STX10,NA,NA,7
STX12,6,NA,7
STX16,NA,NA,7
STX17,NA,NA,NA
STX18,NA,NA,7
STX19,NA,NA,2
STX1B,4,NA,5
STX2,6,NA,7
STX3,NA,NA,NA
STX4,6,NA,7
STX5,NA,NA,NA
STX6,NA,NA,2
STX7,6,NA,6
STX8,NA,NA,NA
STXBP1,NA,NA,5
STXBP2,NA,NA,NA
STXBP5,NA,NA,6
STXBP6,2,NA,2
SULF1,6,4,7
SULF1,6,5,7
SV2A,4,NA,5
SV2B,NA,NA,6
SV2C,3,3,4
SYN1,NA,NA,5
SYN2,NA,NA,5
SYN3,NA,NA,NA
SYNE1,NA,NA,2
SYNGR1,NA,NA,5
SYNGR2,6,NA,7
SYNGR3,NA,NA,5
SYNGR4,NA,NA,NA
SYNJ1,NA,NA,5
SYNJ2,6,NA,7
SYNPO2,NA,NA,6
SYNPR,NA,6,6
SYP,NA,NA,5
SYPL1,6,NA,7
SYPL2,NA,NA,1
SYT1,5,NA,5
SYT10,NA,6,NA
SYT11,NA,NA,NA
SYT12,NA,NA,NA
SYT13,3,NA,4
SYT14,NA,NA,NA
SYT15,NA,NA,NA
SYT16,NA,NA,2
SYT17,NA,2,2
SYT17,NA,3,2
SYT17,NA,5,2
SYT2,4,3,4
SYT2,4,5,4
SYT3,4,NA,NA
SYT4,NA,NA,NA
SYT5,NA,NA,NA
SYT6,6,6,6
SYT7,NA,NA,NA
SYT9,NA,NA,7
SYTL2,6,NA,2
SYTL4,NA,NA,7
TAC1,NA,NA,5
TAC3,2,NA,NA
TACR1,3,NA,NA
TACR2,NA,NA,NA
TACR3,NA,NA,7
TF,6,NA,7
TGFB1,1,NA,1
THBS2,6,NA,7
THSD7B,NA,NA,NA
TIAM1,3,NA,4
TLE4,6,6,7
TM6SF1,4,NA,5
TMEM145,NA,NA,2
