"","gene_symbol","L1","L2","L3","L4","L5","L6"
"19159","LOC102800447",3084,9521,18057,8686,11579,10843
"19160","LOC102929163",1252,1812,4532,3664,4327,3906
"19161","LOC103021295",12,26,52,45,43,37
"19162","LOC103021296",1456,853,2036,2696,1841,755
"19163","LOC103047893",136,563,1084,808,1149,1097
"19164","LOC103091863",0,0,0,0,0,0
"19165","LOC103091866",3861,6346,11972,9277,12537,9910
"19166","LOC103156999",1138,3169,9443,6935,5410,5576
"19167","LOC103171574",61,44,199,176,224,173
"19168","LOC103191607",226,742,482,61,146,1740
"19169","LOC103312105",506,3339,7881,3006,8049,4702
"19170","LOC103344931",2,1,8,6,12,4
"19171","LOC103352541",0,0,66,56,41,183
"19172","LOC103568124",42,52,288,553,64,56
"19173","LOC103611081",30435,51087,85859,68866,76440,71687
"19174","LOC103689914",0,0,0,0,0,0
"19175","LOC103689916",30,138,279,234,111,497
"19176","LOC103908605",682,636,980,747,892,999
"19177","LOC104054148",519,1105,2508,2040,2143,1965
"19178","LOC104613533",0,2,2,0,56,0
"19179","LOC104798195",99,871,444,263,350,1161
"19180","LOC104968399",1062,758,2847,2117,2510,2493
"19181","LOC105274304",3761,3297,5476,6904,5989,8280
"19182","LOC105369140",539,1074,1822,1509,1739,1679
"19183","LOC105369141",11,34,36,53,180,16
"19184","LOC105369142",78,659,347,912,361,674
"19185","LOC105369143",956,2110,5133,3156,4679,3332
"19186","LOC105369144",7701,9583,22122,17292,15251,14478
"19187","LOC105369145",4722,5434,7741,5921,8629,7625
"19188","LOC105369146",573,646,1123,2619,9985,8720
"19189","LOC105369147",30160,65211,133983,103640,122745,111063
"19190","LOC105369148",5415,15654,28272,22654,21233,17795
"19191","LOC105369149",1300,3008,6243,9056,7579,5344
"19192","LOC105369150",569,1337,2749,1819,1645,3088
"19193","LOC105369151",2052,7200,17482,17482,18424,13256
"19194","LOC105369152",129,369,1007,383,481,509
"19195","LOC105369153",17314,23298,47196,25426,35874,41010
"19196","LOC105369154",4768,8269,13003,8948,9998,10916
